id,title,categories,location,goal_amount,carbon,energy,water
23,Emission Control Project in Telangana,Emission Control,Telangana,275684.00,1464.12,133.58,170.65
56,Reforestation Project in Himachal Pradesh,Reforestation,Himachal Pradesh,388955.00,865.24,0.0,1648.56
91,Green Technology Project in Odisha,Green Technology,Odisha,418374.00,90.31,137.78,0.0
58,Sustainable Agriculture Project in Maharashtra,Sustainable Agriculture,Maharashtra,323962.00,269.72,0.0,113.62
8,Renewable Energy Project in Tripura,Renewable Energy,Tripura,356952.00,42.05,45.71,0.0
87,Waste Management Project in Odisha,Waste Management,Odisha,1665833.00,445.86,351.71,196.7
74,Clean Transportation Project in Tripura,Clean Transportation,Tripura,375114.00,576.6,457.5,0.0
54,Reforestation Project in Jharkhand,Reforestation,Jharkhand,830520.00,497.08,0.0,1005.4
29,Emission Control Project in Uttarakhand,Emission Control,Uttarakhand,1363984.00,1451.55,154.8,194.05
71,Clean Transportation Project in Telangana,Clean Transportation,Telangana,1906064.00,386.28,312.4,0.0
68,Clean Transportation Project in Punjab,Clean Transportation,Punjab,408730.00,384.74,319.41,0.0
4,Renewable Energy Project in Meghalaya,Renewable Energy,Meghalaya,578596.00,76.32,104.32,0.0
34,Emission Control Project in Madhya Pradesh,Emission Control,Madhya Pradesh,480486.00,215.16,48.41,58.94
51,Reforestation Project in Karnataka,Reforestation,Karnataka,1352372.00,410.75,0.0,789.54
96,Green Technology Project in Kerala,Green Technology,Kerala,323273.00,271.24,400.24,87.85
80,Waste Management Project in Andhra Pradesh,Waste Management,Andhra Pradesh,112098.00,434.11,359.53,210.51
70,Clean Transportation Project in Telangana,Clean Transportation,Telangana,1251762.00,341.61,276.35,0.0
52,Reforestation Project in Karnataka,Reforestation,Karnataka,1288856.00,793.38,0.0,1642.91
83,Waste Management Project in Assam,Waste Management,Assam,1224014.00,234.59,197.49,105.39
67,Clean Transportation Project in Maharashtra,Clean Transportation,Maharashtra,1247638.00,386.57,317.94,0.0
63,Sustainable Agriculture Project in Manipur,Sustainable Agriculture,Manipur,1361024.00,11759.46,0.0,1216.03
90,Green Technology Project in Odisha,Green Technology,Odisha,541117.00,312.65,485.25,109.12
10,Renewable Energy Project in Kerala,Renewable Energy,Kerala,347754.00,54.4,61.3,0.0
105,Ocean Conservation Project in Jharkhand,Ocean Conservation,Jharkhand,150658.00,268.4,0.0,2174.88
35,Emission Control Project in Madhya Pradesh,Emission Control,Madhya Pradesh,1064142.00,1454.82,158.52,192.62
45,Water Conservation Project in Bihar,Water Conservation,Bihar,848234.00,152.55,58.76,3083.16
107,Ocean Conservation Project in Meghalaya,Ocean Conservation,Meghalaya,1690669.00,301.07,0.0,2276.6
6,Renewable Energy Project in Rajasthan,Renewable Energy,Rajasthan,1504005.00,56.84,69.5,0.0
86,Waste Management Project in Maharashtra,Waste Management,Maharashtra,555246.00,335.78,294.93,156.23
84,Waste Management Project in Tripura,Waste Management,Tripura,206297.00,276.51,231.09,121.39
39,Water Conservation Project in Uttar Pradesh,Water Conservation,Uttar Pradesh,273774.00,87.17,31.51,1659.25
92,Green Technology Project in Assam,Green Technology,Assam,853391.00,102.64,154.19,34.2
101,Ocean Conservation Project in Sikkim,Ocean Conservation,Sikkim,862394.00,126.0,0.0,967.74
93,Green Technology Project in Assam,Green Technology,Assam,1049961.00,255.52,365.08,86.98
89,Green Technology Project in Telangana,Green Technology,Telangana,204848.00,230.25,334.28,76.29
69,Clean Transportation Project in Punjab,Clean Transportation,Punjab,545846.00,603.51,524.42,0.0
36,Water Conservation Project in Andhra Pradesh,Water Conservation,Andhra Pradesh,607019.00,116.24,44.85,2137.4
31,Emission Control Project in Meghalaya,Emission Control,Meghalaya,1416735.00,452.55,98.8,126.96
50,Reforestation Project in Gujarat,Reforestation,Gujarat,1625818.00,606.05,0.0,1194.27
102,Ocean Conservation Project in Mizoram,Ocean Conservation,Mizoram,1759547.00,279.07,0.0,2389.13
60,Sustainable Agriculture Project in Sikkim,Sustainable Agriculture,Sikkim,261245.00,279.5,0.0,103.39
97,Green Technology Project in Kerala,Green Technology,Kerala,366112.00,106.61,164.23,36.02
14,Recycling Project in Telangana,Recycling,Telangana,199997.00,397.73,235.7,366.25
66,Sustainable Agriculture Project in Gujarat,Sustainable Agriculture,Gujarat,1446972.00,8814.29,0.0,1186.36
109,Ocean Conservation Project in Telangana,Ocean Conservation,Telangana,802981.00,241.25,0.0,2008.53
108,Ocean Conservation Project in Telangana,Ocean Conservation,Telangana,213873.00,194.81,0.0,1649.9
22,Recycling Project in Karnataka,Recycling,Karnataka,182877.00,242.63,140.68,234.94
59,Sustainable Agriculture Project in Sikkim,Sustainable Agriculture,Sikkim,1394447.00,11931.67,0.0,1230.25
13,Recycling Project in Himachal Pradesh,Recycling,Himachal Pradesh,1253805.00,343.44,200.1,346.93
65,Sustainable Agriculture Project in Madhya Pradesh,Sustainable Agriculture,Madhya Pradesh,367896.00,389.86,0.0,123.85
111,Ocean Conservation Project in Himachal Pradesh,Ocean Conservation,Himachal Pradesh,253354.00,170.89,0.0,1338.14
2,Renewable Energy Project in Punjab,Renewable Energy,Punjab,521299.00,110.82,143.69,0.0
16,Recycling Project in Haryana,Recycling,Haryana,105678.00,292.66,174.27,269.77
62,Sustainable Agriculture Project in Odisha,Sustainable Agriculture,Odisha,868153.00,5086.68,0.0,186.22
75,Clean Transportation Project in Jharkhand,Clean Transportation,Jharkhand,150204.00,218.55,174.31,0.0
98,Ocean Conservation Project in Rajasthan,Ocean Conservation,Rajasthan,1868260.00,266.2,0.0,2043.7
73,Clean Transportation Project in Tripura,Clean Transportation,Tripura,775322.00,555.56,464.63,0.0
103,Ocean Conservation Project in Mizoram,Ocean Conservation,Mizoram,1087781.00,244.94,0.0,2046.84
44,Water Conservation Project in Bihar,Water Conservation,Bihar,1666865.00,90.66,35.64,1646.53
11,Renewable Energy Project in Goa,Renewable Energy,Goa,912052.00,39.64,47.47,0.0
99,Ocean Conservation Project in Rajasthan,Ocean Conservation,Rajasthan,1564391.00,246.97,0.0,2017.79
42,Water Conservation Project in Karnataka,Water Conservation,Karnataka,1398351.00,149.59,53.48,2776.43
88,Waste Management Project in Nagaland,Waste Management,Nagaland,1391068.00,417.28,338.87,193.6
82,Waste Management Project in Assam,Waste Management,Assam,617128.00,267.21,218.31,120.93
41,Water Conservation Project in Karnataka,Water Conservation,Karnataka,959523.00,163.53,61.52,3346.94
46,Reforestation Project in Meghalaya,Reforestation,Meghalaya,1188043.00,528.11,0.0,1281.34
40,Water Conservation Project in Uttar Pradesh,Water Conservation,Uttar Pradesh,902270.00,122.34,49.03,2339.19
43,Water Conservation Project in Telangana,Water Conservation,Telangana,1076045.00,88.74,33.91,1603.58
53,Reforestation Project in Kerala,Reforestation,Kerala,775580.00,840.58,0.0,1890.94
32,Emission Control Project in Nagaland,Emission Control,Nagaland,412822.00,1459.55,73.52,99.09
9,Renewable Energy Project in Tripura,Renewable Energy,Tripura,1791030.00,55.29,62.73,0.0
7,Renewable Energy Project in Mizoram,Renewable Energy,Mizoram,410835.00,81.86,117.48,0.0
100,Ocean Conservation Project in Sikkim,Ocean Conservation,Sikkim,272336.00,100.59,0.0,791.42
38,Water Conservation Project in Maharashtra,Water Conservation,Maharashtra,1308765.00,63.76,24.15,1259.17
15,Recycling Project in Tamil Nadu,Recycling,Tamil Nadu,377566.00,317.36,188.36,312.15
79,Waste Management Project in Arunachal Pradesh,Waste Management,Arunachal Pradesh,1432104.00,381.39,306.26,172.84
48,Reforestation Project in Odisha,Reforestation,Odisha,608889.00,707.8,0.0,1385.35
26,Emission Control Project in Rajasthan,Emission Control,Rajasthan,1108648.00,649.1,145.1,192.0
12,Recycling Project in Himachal Pradesh,Recycling,Himachal Pradesh,532016.00,382.57,227.83,369.56
85,Waste Management Project in Maharashtra,Waste Management,Maharashtra,920243.00,246.45,199.72,116.14
72,Clean Transportation Project in Assam,Clean Transportation,Assam,239955.00,482.42,396.23,0.0
95,Green Technology Project in Rajasthan,Green Technology,Rajasthan,1023197.00,193.06,298.57,64.5
78,Waste Management Project in Arunachal Pradesh,Waste Management,Arunachal Pradesh,1826094.00,232.39,183.11,103.42
57,Sustainable Agriculture Project in Bihar,Sustainable Agriculture,Bihar,1687755.00,11738.26,0.0,1215.7
24,Emission Control Project in Himachal Pradesh,Emission Control,Himachal Pradesh,1096895.00,603.48,125.93,162.21
81,Waste Management Project in Andhra Pradesh,Waste Management,Andhra Pradesh,1931327.00,348.55,280.86,147.64
61,Sustainable Agriculture Project in Odisha,Sustainable Agriculture,Odisha,141381.00,93.93,0.0,47.06
19,Recycling Project in Goa,Recycling,Goa,978173.00,258.16,146.74,241.54
